dropoutX_batch16,dropout_batch16,dropout_X_batch32,dropout_batch32,dropoutX_batch64,dropout_batch64
0.326070873,0.324207796,0.340129619,0.339870278,0.363452125,0.366622493
0.287781567,0.291888606,0.303774218,0.303464699,0.305844906,0.308003708
0.267567055,0.27760928,0.290682639,0.291231402,0.302640974,0.302280716
0.254679562,0.269501663,0.27539195,0.279614254,0.296084823,0.298035793
0.244229691,0.262585131,0.264363884,0.273173648,0.2881278,0.290088337
0.233738889,0.255671894,0.256599849,0.265866443,0.278450924,0.282975488
0.223815034,0.248596579,0.248779492,0.260741945,0.272701717,0.277549372
0.214407682,0.243497234,0.241654276,0.255336037,0.266162787,0.273113271
0.205528332,0.236315984,0.23441452,0.256326506,0.261237375,0.270222202
0.197333043,0.231453507,0.227403193,0.245471828,0.255977249,0.26537664
0.189355606,0.225982473,0.220551763,0.241461575,0.252055707,0.262278535
0.181460632,0.221816116,0.214417993,0.236743046,0.248579841,0.258821803
0.17411691,0.216437176,0.207708731,0.231074963,0.243999748,0.25540399
0.167074501,0.21173022,0.201598,0.226281039,0.240386372,0.251917083
0.160412842,0.207960197,0.19540166,0.224319038,0.23618707,0.249848659
0.153222517,0.203513811,0.190073145,0.218526137,0.233921226,0.246690746
0.146707361,0.199151275,0.183109935,0.214617111,0.229283717,0.244123187
0.140094077,0.194822539,0.177630005,0.210456544,0.224441984,0.240682622
0.133419515,0.190910021,0.172059699,0.206186708,0.220998665,0.23847991
0.127479359,0.187104994,0.166070797,0.202463338,0.216987829,0.235423627
0.121144907,0.183778405,0.161369671,0.199591112,0.212766333,0.232452153
0.114552642,0.178834862,0.179207186,0.195189053,0.209973272,0.229234569
0.109043167,0.17457468,0.260570142,0.191497942,0.206023293,0.226261596
0.102783475,0.171551817,0.283903019,0.188611294,0.201344522,0.222264794
0.097140288,0.16772059,0.247324298,0.185775497,0.197799317,0.219987899
0.090922603,0.165808577,0.205345775,0.18138329,0.195718527,0.216207729
0.085393254,0.160861595,0.16309948,0.179526539,0.192103692,0.214888515
0.080840605,0.156400802,0.151541995,0.17725675,0.189093457,0.210874859
0.075122177,0.154800691,0.144154637,0.172876265,0.183919342,0.207538124
0.069549926,0.151844442,0.137882264,0.170173268,0.180777337,0.206112045
0.064973341,0.148100168,0.132261147,0.16690131,0.17628239,0.203260042
0.060229498,0.145756484,0.126333689,0.162335159,0.172975963,0.199359438
0.055872952,0.142872259,0.121984277,0.160825177,0.168787687,0.196705944
0.051731093,0.138900693,0.116665207,0.157907888,0.165986026,0.194818695
0.047782349,0.136219478,0.111768377,0.153403498,0.161624892,0.192643259
0.043723204,0.132545148,0.106433295,0.151876199,0.158181968,0.19051868
0.039983662,0.129396062,0.102178903,0.150019638,0.154825584,0.187982373
0.038423587,0.127427856,0.096698104,0.145498704,0.151056457,0.186013468
0.033410583,0.123923491,0.092660262,0.143236387,0.14838478,0.182497832
0.030894181,0.122365408,0.087816261,0.141031497,0.143564994,0.180684786
0.027671848,0.117614021,0.083452802,0.1385668,0.140729065,0.177394275
0.025647115,0.116247394,0.079071212,0.13380845,0.136959414,0.174281675
0.023126948,0.113413644,0.075631157,0.132690239,0.133827679,0.172568105
0.020775419,0.111576005,0.070826859,0.130313086,0.130453269,0.171144802
0.01851408,0.109780226,0.067170148,0.127673543,0.125591531,0.168844257
0.016609373,0.106518265,0.063124352,0.124637511,0.122356004,0.166294472
0.015384585,0.105653459,0.059189534,0.124457989,0.119804255,0.164310325
0.013961616,0.101071875,0.055886712,0.121277697,0.115558095,0.160828034
0.011908166,0.101133883,0.052506752,0.119102787,0.111724193,0.16096072
0.010727473,0.096704209,0.048731659,0.116686965,0.109279582,0.156652269
0.010059099,0.095750671,0.045789901,0.114208831,0.105388717,0.155032176
0.00856527,0.094885528,0.043151616,0.112107015,0.101899821,0.152428055
0.008069426,0.091695702,0.039613485,0.110828135,0.098447868,0.15062485
0.006904153,0.090263492,0.037432456,0.108708225,0.095591337,0.149876747
0.006360949,0.085899273,0.034457664,0.10691989,0.091843052,0.147026521
0.005675173,0.085702913,0.031628738,0.104072145,0.088673515,0.145562437
0.00510056,0.084731235,0.029810668,0.102081162,0.085466438,0.143230085
0.004459834,0.081608824,0.027103564,0.099921457,0.082322349,0.143086357
0.004226012,0.079994689,0.025969589,0.098162547,0.079574955,0.138650052
0.003754929,0.079209258,0.023029604,0.09598648,0.075538569,0.136781547
0.003481385,0.076317746,0.021067037,0.094673377,0.073554457,0.136224719
0.003398869,0.074813895,0.020228644,0.092862683,0.069954229,0.133467373
0.002821047,0.072773433,0.017925405,0.090984922,0.066545043,0.130932716
0.002408965,0.071672865,0.01672557,0.089843984,0.064686266,0.131124353
0.002464432,0.069200003,0.015028719,0.088943588,0.062042942,0.127050769
0.002215971,0.069519721,0.013767406,0.086963543,0.058928826,0.126627641
0.00221261,0.070347445,0.012770096,0.086141512,0.055970747,0.124515532
0.001758031,0.066979601,0.012086587,0.082330601,0.053839362,0.123374946
0.001837837,0.064428513,0.011506539,0.082124736,0.050898125,0.12274607
0.001702046,0.063903157,0.009485297,0.081480723,0.048171444,0.119387802
0.001571123,0.063244829,0.008661069,0.078963142,0.046376755,0.116975725
0.001341462,0.059894247,0.008303921,0.07742336,0.043656195,0.11630446
0.001301888,0.059755237,0.007546201,0.07555988,0.041587418,0.112654651
0.001343212,0.058796933,0.006625371,0.073898029,0.040117329,0.113303505
0.001025785,0.058652471,0.006400316,0.07403552,0.037160474,0.11437434
0.000936924,0.057392876,0.00586557,0.071612497,0.034861971,0.10844929
0.001107712,0.055409249,0.004957718,0.071716449,0.033063728,0.108094044
0.000815025,0.054503891,0.00468348,0.067684022,0.031333004,0.107010943
0.001236947,0.054142213,0.004953636,0.06768172,0.029839744,0.105150546
0.001233557,0.053401481,0.003875643,0.066050589,0.027681904,0.103874387
0.000903112,0.050426829,0.003945902,0.066052925,0.025775109,0.102637867
0.000678931,0.04913982,0.003454482,0.064213022,0.024621347,0.102674695
0.000690087,0.050424758,0.003393958,0.062769445,0.024018066,0.099642313
0.000668733,0.048437946,0.003128306,0.062702146,0.020760361,0.099172636
0.000744604,0.048161054,0.002375253,0.06053388,0.021013609,0.097718643
0.000667885,0.048447373,0.002564232,0.05897059,0.018278527,0.095430814
0.002089888,0.045487331,0.002712067,0.059873217,0.017923041,0.093848578
0.000502024,0.045169578,0.002636044,0.058521979,0.016014209,0.095161002
0.000720088,0.044469471,0.00182499,0.057198709,0.015708081,0.091203033
0.000639929,0.042898705,0.002198805,0.055976141,0.014146639,0.091962425
0.000727418,0.043424507,0.002005678,0.056307697,0.012909391,0.088218091
0.000768633,0.041747467,0.001989215,0.055127154,0.012837157,0.088794298
0.000359113,0.042339145,0.00143404,0.053936357,0.011440327,0.086445719
0.000621168,0.039845232,0.00177342,0.053102753,0.011442547,0.086208447
0.000349901,0.039931007,0.00166198,0.050820836,0.009397266,0.083094344
0.000783573,0.039827499,0.001529622,0.051010664,0.009752043,0.083512196
0.000769225,0.039335227,0.002029936,0.050108971,0.008929711,0.081613443
0.000601511,0.03799878,0.001233593,0.050471402,0.009589543,0.080822029
0.000392217,0.03684412,0.001356628,0.048191049,0.006757068,0.079210698
0.000642011,0.038813005,0.001458948,0.048702887,0.007698626,0.079008495
